id,pop
SI,4
E.p._S_01,2
E.p._A_19,3
SII,2
E.p._A_01,1
E.p._A_20,2
SA,4
E.p._A_06,3
E.p._A_21,1
SB,4
E.p._A_08,1
E.p._A_22,2
E.p._A_09,1
E.p._A_11a,3
E.p._A_14,3
E.p._A_18,3
E.p._A_02,1
E.p._A_03,1
E.p._A_07,1
E.p._A_10,2
E.p._A_11b,3
E.p._A_12,1
E.p._A_17,3
E.p._A_15,5
A2,6
A4,6
A24,6
A25,6
